,"School Name","Full Address","Street Address",City,State,"Zip Code",Country,"School Type",Website,Description,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
0,"Bethany Christian Academy","1765 Highland Ave, Montgomery, AL, 36107-2657, USA","1765 Highland Ave",Montgomery,AL,36107-2657,USA,PK-08,https://www.adventisteducation.org/schools/ANTP25,"Bethany Christian Academy is a Christ-centered private school, where students receive a wholistic education which prepares them for college and life.",32.37256,-86.284475,1,rooftop,1765,"Highland Ave",,,Montgomery,AL,"Montgomery County",36107,US,"City of Montgomery"
1,"Bethany SDA Child Development Center","714 Cedar St, Montgomery, AL, 36106-1002, USA","714 Cedar St",Montgomery,AL,36106-1002,USA,ECP,https://www.adventisteducation.org/schools/ANTP27,[],32.371569,-86.289672,1,rooftop,714,"Cedar St",,,Montgomery,AL,"Montgomery County",36106,US,"City of Montgomery"
2,"Big Cove Christian Academy","6354 Highway 431 S, Owens Cross Roads, AL, 35763-9210, USA","6354 Highway 431 S","Owens Cross Roads",AL,35763-9210,USA,PK-08,https://www.adventisteducation.org/schools/ANTG16,[],34.667724,-86.488204,1,range_interpolation,6354,US-431,,,"Owens Cross Roads",AL,"Madison County",35763,US,"TIGER/Line® dataset from the US Census Bureau"
3,"Ephesus Academy Child Development Center","829 McMillon Ave SW, Birmingham, AL, 35211-1730, USA","829 McMillon Ave SW",Birmingham,AL,35211-1730,USA,ECP,https://www.adventisteducation.org/schools/ANTP2A,[],33.494778,-86.844501,1,rooftop,829,"McMillon Ave SW",,,Birmingham,AL,"Jefferson County",35211,US,Jefferson
4,"Ephesus Junior Academy","829 McMillon Ave SW, Birmingham, AL, 35211-1730, USA","829 McMillon Ave SW",Birmingham,AL,35211-1730,USA,PK-10,https://www.adventisteducation.org/schools/ANTP45,[],33.494778,-86.844501,1,rooftop,829,"McMillon Ave SW",,,Birmingham,AL,"Jefferson County",35211,US,Jefferson
5,"Floral Crest School","1228 County Road 89, Bryant, AL, 35958-5332, USA","1228 County Road 89",Bryant,AL,35958-5332,USA,PK-08,https://www.adventisteducation.org/schools/ANTG36,[],34.876547,-85.588078,1,rooftop,1228,"County Rd 89",,,Bryant,AL,"Jackson County",35958,US,Jackson
6,"Hoover Christian School","2113 Old Rocky Ridge Rd, Hoover, AL, 35216-6101, USA","2113 Old Rocky Ridge Rd",Hoover,AL,35216-6101,USA,PK-10,https://www.adventisteducation.org/schools/ANTG20,"Hoover Christian School, a Seventh-day Adventist Christian school, is dedicated to nurturing a personal relationship with Jesus,  teaching students to be Bible ""Daniels"" in a secular world, developing academic excellence, and promoting service to others.",33.387748,-86.794638,1,rooftop,2113,"Old Rocky Ridge Rd",,,"Vestavia Hills",AL,"Jefferson County",35216,US,Jefferson
7,"Mobile Junior Academy","1900 Cody Rd S, Mobile, AL, 36695-3007, USA","1900 Cody Rd S",Mobile,AL,36695-3007,USA,PK-08,https://www.adventisteducation.org/schools/ANTG52,[],30.651183,-88.20852,1,rooftop,1900,"Cody Rd S",,,Mobile,AL,"Mobile County",36695,US,"City of Mobile"
8,"New Life Early Learning Center","3912 Pulaski Pike NW # B, Huntsville, AL, 35810-2659, USA","3912 Pulaski Pike NW # B",Huntsville,AL,35810-2659,USA,ECP,https://www.adventisteducation.org/schools/ANTP2F,[],34.777152,-86.616459,1,range_interpolation,3912,"Pulaski Pike NW",#,B,Huntsville,AL,"Madison County",35810,US,"TIGER/Line® dataset from the US Census Bureau"
9,"Oakwood Adventist Academy","7000 Adventist Blvd, Huntsville, AL, 35896-0001, USA","7000 Adventist Blvd",Huntsville,AL,35896-0001,USA,PK-12,https://www.adventisteducation.org/schools/ANTP31,"Oakwood Adventist Academy is a Seventh-day Adventist co-educational K-12 day school located on the historic campus of Oakwood University in Huntsville, AL.",34.751997,-86.648196,0.9,range_interpolation,7000,"Adventist Blvd NW",,,Huntsville,AL,"Madison County",35896,US,"TIGER/Line® dataset from the US Census Bureau"
10,"Oakwood University","7000 Adventist Blvd NW, Huntsville, AL, 35896-0001, USA","7000 Adventist Blvd NW",Huntsville,AL,35896-0001,USA,University,https://www.adventisteducation.org/schools/AN11OA,[],34.751997,-86.648196,1,range_interpolation,7000,"Adventist Blvd NW",,,Huntsville,AL,"Madison County",35896,US,"TIGER/Line® dataset from the US Census Bureau"
11,"Oakwood University Child Development Lab","7000 Adventist Blvd, Huntsville, AL, 35896-0001, USA","7000 Adventist Blvd",Huntsville,AL,35896-0001,USA,ECP,https://www.adventisteducation.org/schools/ANTP2G,[],34.751997,-86.648196,0.9,range_interpolation,7000,"Adventist Blvd NW",,,Huntsville,AL,"Madison County",35896,US,"TIGER/Line® dataset from the US Census Bureau"
12,"Amazing Grace Academy","2238 S Inner Springer Loop, Palmer, AK, 99645, USA","2238 S Inner Springer Loop",Palmer,AK,99645,USA,PK-12,https://www.adventisteducation.org/schools/ANI465,"Amazing Grace Academy is a Seventh-day Adventist school committed to nurturing students to develop personal relationships with God, academic excellence, and strong relationships through service.",61.571161,-149.146783,1,rooftop,2238,"S S Inner Springer Loop Loop",,,Palmer,AK,"Matanuska-Susitna Borough",99645,US,"Matanuska-Susitna Borough"
13,"Anchorage Junior Academy","5511 Omalley Rd, Anchorage, AK, 99507-6856, USA","5511 Omalley Rd",Anchorage,AK,99507-6856,USA,PK-08,https://www.adventisteducation.org/schools/ANI415,"AJA exists to introduce each student to Jesus Christ. Our desire is to develop this relationship so that each student will love their Creator and choose to spend eternity with Him.",61.123314,-149.779833,1,rooftop,5511,"O'malley Rd",,,Anchorage,AK,"Anchorage Municipality",99507,US,"Municipality of Anchorage"
14,"Dillingham Adventist School","446 Windmill Hill Rd, Dillingham, AK, 99576, USA","446 Windmill Hill Rd",Dillingham,AK,99576,USA,PK-08,https://www.adventisteducation.org/schools/ANI435,[],59.043279,-158.491439,1,rooftop,446,"Windmill Hill Rd",,,Dillingham,AK,"Dillingham Census Area",99576,US,"City of Dillingham"
15,"Golden Heart Christian School","1809 Farmers Loop Rd, Fairbanks, AK, 99709-6553, USA","1809 Farmers Loop Rd",Fairbanks,AK,99709-6553,USA,PK-08,https://www.adventisteducation.org/schools/ANI440,[],64.874085,-147.822033,1,rooftop,1809,"Farmers Loop Rd",,,Fairbanks,AK,"Fairbanks North Star Borough",99709,US,"Fairbanks North Star Borough"
16,"Juneau Adventist Christian School","4890 Glacier Hwy, Juneau, AK, 99801-9512, USA","4890 Glacier Hwy",Juneau,AK,99801-9512,USA,PK-08,https://www.adventisteducation.org/schools/ANI445,[],58.347495,-134.491868,1,rooftop,4890,"Glacier Hwy",,,Juneau,AK,"Juneau City And Borough",99801,US,"City of Juneau"
17,"Sitka Adventist School","1613 Halibut Point Rd, Sitka, AK, 99835-7010, USA","1613 Halibut Point Rd",Sitka,AK,99835-7010,USA,PK-08,https://www.adventisteducation.org/schools/ANI480,[],57.065141,-135.363548,1,rooftop,1613,"Halibut Point Rd",,,Sitka,AK,"Sitka City And Borough",99835,US,Sitka
18,"Adobe Adventist Christian School","9910 E Adobe Rd, Mesa, AZ, 85207-5319, USA","9910 E Adobe Rd",Mesa,AZ,85207-5319,USA,K-08,https://www.adventisteducation.org/schools/ANP430,"Adobe Adventist Christian School is dedicated to providing families with a Christ centered education based on a Biblical foundation.",33.430012,-111.617015,1,rooftop,9910,"E Adobe Rd",,,Mesa,AZ,"Maricopa County",85207,US,Maricopa
19,"Cochise SDA Christian School","1462 S Naco Hwy, Bisbee, AZ, 85603, USA","1462 S Naco Hwy",Bisbee,AZ,85603,USA,K-08,https://www.adventisteducation.org/schools/ANP4BI,[],31.392561,-109.919552,1,rooftop,1462,"S Naco Hwy",,,Bisbee,AZ,"Cochise County",85603,US,Cochise
20,"Glenview Adventist  Academy","6801 N 43rd Ave, Phoenix, AZ, 85019-1008, USA","6801 N 43rd Ave",Phoenix,AZ,85019-1008,USA,K-08,https://www.adventisteducation.org/schools/ANP440,[],33.536804,-112.15113,1,rooftop,6801,"N 43rd Ave",,,Phoenix,AZ,"Maricopa County",85019,US,Maricopa
21,"Holbrook SDA Indian School","2001 McLaws Rd, Holbrook, AZ, 86025-3223, USA","2001 McLaws Rd",Holbrook,AZ,86025-3223,USA,PK-12,https://www.adventisteducation.org/schools/ANP145,"Holbrook Indian School provides a safe place for Native American students to learn and grow in the Creator while preserving and celebrating their Native culture.",34.883095,-110.192321,1,rooftop,2001,"McLaws Rd",,,Holbrook,AZ,"Navajo County",86025,US,"Statewide AZ"
22,"Maricopa Village Christian School","8001 W Baseline Rd, Laveen, AZ, 85339-9311, USA","8001 W Baseline Rd",Laveen,AZ,85339-9311,USA,PK-08,https://www.adventisteducation.org/schools/ANP4MB,[],33.377168,-112.228741,1,range_interpolation,8001,"W Baseline Rd",,,Laveen,AZ,"Maricopa County",85339,US,"TIGER/Line® dataset from the US Census Bureau"
23,"Prescott Adventist Christian School","2980 Willow Creek Rd, Prescott, AZ, 86301-4179, USA","2980 Willow Creek Rd",Prescott,AZ,86301-4179,USA,K-08,https://www.adventisteducation.org/schools/ANP460,"We are a Seventh-day Adventist school located in Prescott, Arizona. Our staff is committed to providing quality education in a Christ-filled environment.",34.593042,-112.470692,1,rooftop,2980,"Willow Creek Rd",,,Prescott,AZ,"Yavapai County",86301,US,"Statewide AZ"
24,"Saguaro Hills Adventist Christian School","4280 W Irvington Rd, Tucson, AZ, 85746-9529, USA","4280 W Irvington Rd",Tucson,AZ,85746-9529,USA,K-08,https://www.adventisteducation.org/schools/ANP4SS,"Saguaro Hills is a safe SDA Christian K-8 school. We are a small 3 room school on 23 acres of desert landscape.",32.16349,-111.056144,1,rooftop,4280,"W Irvington Rd",,,Tucson,AZ,"Pima County",85746,US,Pima
25,"Thunderbird Adventist Academy","7410 E Sutton Dr, Scottsdale, AZ, 85260-3915, USA","7410 E Sutton Dr",Scottsdale,AZ,85260-3915,USA,9-12,https://www.adventisteducation.org/schools/ANP43Q,"Our mission is for each of our students to EXCEL: to EXperience Jesus, to Communicate clearly and think critically, to Embrace service and citizenship, and to Live healthfully in body and mind.",33.608431,-111.920906,1,rooftop,7410,"E Sutton Dr",,,Scottsdale,AZ,"Maricopa County",85260,US,"City of Scottsdale"
26,"Thunderbird Christian Elementary","7440 E Sutton Dr, Scottsdale, AZ, 85260-3915, USA","7440 E Sutton Dr",Scottsdale,AZ,85260-3915,USA,K-08,https://www.adventisteducation.org/schools/ANP415,"We are an Adventist educational institution that is committed to excellence in all we do. We encourage our students to be motivated thinkers and lifelong learners. It is vital that we meet the students where they are and encourage hem to teach their potential. We strive to provide a well-rounded education including hands on experimental learning through STEM activities and enrichment programs. We strive to show our students how to be like Christ by using their knowledge and talents to serve others.",33.608856,-111.919189,1,rooftop,7440,"E Sutton Dr",,,Scottsdale,AZ,"Maricopa County",85260,US,"City of Scottsdale"
